text,label
"Olá, estou com problema para acessar o painel de administração. Podem verificar?",productive
"Agradeço pelo suporte rápido no último chamado, foi excelente!",unproductive
"Preciso do status do meu pedido #98765, ainda não recebi atualização.",productive
"Parabéns pela nova funcionalidade do app, ficou muito prática!",unproductive
"Por favor, enviem o contrato revisado para assinatura até amanhã.",productive
"Vi a promoção de Black Friday no site, já está ativa?",unproductive
Meu sistema está com erro 503 ao tentar fazer login. Podem ajudar?,productive
"Obrigado pela entrega no prazo, superou minhas expectativas!",unproductive
Quero saber como configurar a integração com o sistema de pagamento.,productive
"A nova interface do portal está incrível, parabéns!",unproductive
Podem me enviar a fatura do último mês? Preciso para contabilidade.,productive
"Adorei o último webinar, muito informativo!",unproductive
"Meu acesso ao sistema foi bloqueado, podem liberar com urgência?",productive
"Agradeço pela atenção no suporte, resolveram tudo rapidamente!",unproductive
Preciso de ajuda para exportar os relatórios em PDF.,productive
Vocês têm planos de lançar novas funcionalidades este ano?,unproductive
Meu pedido #45632 chegou com um item errado. Como faço a troca?,productive
"Parabéns pelo ótimo atendimento, continuem assim!",unproductive
Quero agendar uma demonstração do software para minha equipe.,productive
"O design do novo produto está fantástico, quando estará disponível?",unproductive
"Por favor, confirmem se meu pagamento foi processado corretamente.",productive
"Obrigado pelo suporte no problema com minha conta, foi perfeito!",unproductive
Como faço para redefinir minha senha? O link não está funcionando.,productive
"A nova campanha de marketing está muito criativa, parabéns!",unproductive
Preciso de um relatório detalhado das transações de outubro.,productive
"Vi o post no X sobre o novo recurso, parece ótimo!",unproductive
"Meu sistema está lento hoje, há alguma manutenção programada?",productive
Agradeço pela solução rápida do problema com o login!,unproductive
Podem enviar o manual do usuário para a versão 3.1 do software?,productive
Vocês oferecem descontos para clientes de longa data?,unproductive
Erro ao tentar salvar alterações no sistema. Podem verificar?,productive
"O evento de lançamento foi incrível, parabéns à equipe!",unproductive
Quero mudar meu plano para o empresarial. Como procedo?,productive
"A newsletter deste mês trouxe dicas ótimas, parabéns!",unproductive
Podem verificar por que meu relatório está incompleto?,productive
Obrigado pela paciência em esclarecer minhas dúvidas!,unproductive
Preciso de suporte para configurar o acesso multiusuário.,productive
Vocês vão participar da próxima feira de tecnologia?,unproductive
Meu pedido #78901 ainda não foi entregue. Podem checar?,productive
"A nova atualização do app está muito boa, continuem assim!",unproductive
Quero saber mais sobre as opções de personalização do sistema.,productive
"Parabéns pelo prêmio de inovação, muito merecido!",unproductive
"Por favor, enviem a proposta para o plano premium.",productive
Obrigado pela entrega rápida do meu último pedido!,unproductive
Preciso de ajuda para corrigir um erro na importação de dados.,productive
"A nova versão do site está muito intuitiva, parabéns!",unproductive
"Meu sistema está fora do ar, podem verificar com urgência?",productive
"Agradeço pelo suporte contínuo, está fazendo a diferença!",unproductive
Quero agendar uma call para discutir os detalhes do projeto.,productive
"Vi a promoção no site, mas não sei se aplica ao meu plano.",unproductive
"Por favor, enviem o cronograma atualizado do projeto Z.",productive
Obrigado pela solução do problema com o pagamento!,unproductive
Preciso de suporte para integrar o sistema com nossa API.,productive
"A nova funcionalidade do app é muito prática, parabéns!",unproductive
Meu login está dando erro 'usuário não encontrado'. Podem ajudar?,productive
Obrigado pela atenção no meu último ticket de suporte!,unproductive
Quero saber como funciona o processo de upgrade do plano.,productive
"Adorei o design do novo produto, quando estará à venda?",unproductive
"Podem verificar o status do meu reembolso, por favor?",productive
"O webinar de ontem foi muito bem organizado, parabéns!",unproductive
Preciso de um relatório das métricas de uso do último trimestre.,productive
Vocês têm algum programa de fidelidade para clientes antigos?,unproductive
Meu pedido #23456 foi entregue com defeito. Como resolvo?,productive
Agradeço pela rápida resposta à minha solicitação!,unproductive
Quero agendar um treinamento para minha equipe no sistema.,productive
Vocês têm algum whitepaper sobre as novas funcionalidades?,unproductive
Meu relatório de vendas está com dados errados. Podem verificar?,productive
Parabéns pelo ótimo trabalho no suporte ao cliente!,unproductive
"Por favor, enviem o link para o treinamento online.",productive
Obrigado pela paciência em resolver meu problema!,unproductive
Preciso de ajuda para configurar o webhook no meu projeto.,productive
"A nova campanha no X está incrível, continuem assim!",unproductive
"Por favor, confirmem o prazo para entrega do pedido #34567.",productive
O conteúdo do blog de vocês está cada vez melhor!,unproductive
"Meu acesso ao sistema expirou, como renovo?",productive
"A nova interface do app é muito moderna, parabéns!",unproductive
Podem verificar por que meu sistema está travando?,productive
"Obrigado pelo suporte no último chamado, foi excelente!",unproductive
Quero saber mais sobre os planos de assinatura disponíveis.,productive
"Adorei as dicas do último e-mail, muito úteis!",unproductive
Preciso de uma fatura detalhada para o pagamento de setembro.,productive
"Parabéns pela nova certificação, agrega muito valor!",unproductive
Meu sistema está com erro 400 ao tentar fazer upload. Podem ajudar?,productive
"Obrigado pela entrega dentro do prazo, foi perfeito!",unproductive
Quero agendar uma demonstração do produto para próxima semana.,productive
